instrument_name,strike,expiry_date,option_type,bid,ask,underlying_price,implied_volatility,funding_rate,timestamp
BTC-27MAR26-30000-C,30000.0,1774598400000,put,0.59,0.5915,0.0,,0.0,2026-03-16T10:45:18.547836+00:00
BTC-27MAR26-45000-C,45000.0,1774598400000,put,0.3845,0.388,0.0,,0.0,2026-03-16T10:45:18.653987+00:00
BTC-27MAR26-53000-C,53000.0,1774598400000,put,0.275,0.2795,0.0,,0.0,2026-03-16T10:45:18.852020+00:00
BTC-27MAR26-55000-P,55000.0,1774598400000,put,0.0008,0.0009,0.0,,0.0,2026-03-16T10:45:18.997272+00:00
BTC-27MAR26-56000-C,56000.0,1774598400000,put,0.2345,0.2395,0.0,,0.0,2026-03-16T10:45:19.042168+00:00
BTC-27MAR26-58000-C,58000.0,1774598400000,put,0.2075,0.213,0.0,,0.0,2026-03-16T10:45:19.155464+00:00
BTC-27MAR26-58000-P,58000.0,1774598400000,put,0.0016,0.0018,0.0,,0.0,2026-03-16T10:45:19.199428+00:00
BTC-27MAR26-59000-C,59000.0,1774598400000,put,0.195,0.199,0.0,,0.0,2026-03-16T10:45:19.245590+00:00
BTC-27MAR26-59000-P,59000.0,1774598400000,put,0.0019,0.0021,0.0,,0.0,2026-03-16T10:45:19.288177+00:00
BTC-27MAR26-60000-P,60000.0,1774598400000,put,0.0023,0.0026,0.0,,0.0,2026-03-16T10:45:19.354367+00:00
BTC-27MAR26-62000-C,62000.0,1774598400000,put,0.156,0.16,0.0,,0.0,2026-03-16T10:45:19.395986+00:00
BTC-27MAR26-62000-P,62000.0,1774598400000,put,0.0034,0.0037,0.0,,0.0,2026-03-16T10:45:19.440838+00:00
BTC-27MAR26-64000-P,64000.0,1774598400000,put,0.005,0.006,0.0,,0.0,2026-03-16T10:45:19.508961+00:00
BTC-27MAR26-65000-C,65000.0,1774598400000,put,0.1175,0.122,0.0,,0.0,2026-03-16T10:45:19.554125+00:00
BTC-27MAR26-65000-P,65000.0,1774598400000,put,0.006,0.007,0.0,,0.0,2026-03-16T10:45:19.597236+00:00
BTC-27MAR26-66000-C,66000.0,1774598400000,put,0.106,0.1095,0.0,,0.0,2026-03-16T10:45:19.644473+00:00
BTC-27MAR26-66000-P,66000.0,1774598400000,put,0.008,0.0085,0.0,,0.0,2026-03-16T10:45:19.688404+00:00
BTC-27MAR26-67000-P,67000.0,1774598400000,put,0.01,0.0105,0.0,,0.0,2026-03-16T10:45:19.756395+00:00
BTC-27MAR26-68000-C,68000.0,1774598400000,put,0.0835,0.086,0.0,,0.0,2026-03-16T10:45:19.801674+00:00
BTC-27MAR26-68000-P,68000.0,1774598400000,put,0.012,0.013,0.0,,0.0,2026-03-16T10:45:19.845993+00:00
BTC-27MAR26-69000-C,69000.0,1774598400000,put,0.0725,0.075,0.0,,0.0,2026-03-16T10:45:19.891452+00:00
BTC-27MAR26-69000-P,69000.0,1774598400000,put,0.015,0.016,0.0,,0.0,2026-03-16T10:45:19.934958+00:00
BTC-27MAR26-70000-P,70000.0,1774598400000,put,0.0185,0.0195,0.0,,0.0,2026-03-16T10:45:20.000321+00:00
BTC-27MAR26-71000-C,71000.0,1774598400000,put,0.0535,0.055,0.0,,0.0,2026-03-16T10:45:20.045584+00:00
BTC-27MAR26-71000-P,71000.0,1774598400000,put,0.023,0.024,0.0,,0.0,2026-03-16T10:45:20.092402+00:00
BTC-27MAR26-72000-C,72000.0,1774598400000,put,0.045,0.0465,0.0,,0.0,2026-03-16T10:45:20.137312+00:00
BTC-27MAR26-73000-C,73000.0,1774598400000,put,0.0375,0.0385,0.0,,0.0,2026-03-16T10:45:20.201680+00:00
BTC-27MAR26-73000-P,73000.0,1774598400000,put,0.0335,0.0345,0.0,,0.0,2026-03-16T10:45:20.245026+00:00
BTC-27MAR26-74000-C,74000.0,1774598400000,put,0.0305,0.0315,0.0,,0.0,2026-03-16T10:45:20.292612+00:00
BTC-27MAR26-74000-P,74000.0,1774598400000,put,0.0405,0.0415,0.0,,0.0,2026-03-16T10:45:20.336166+00:00
