instrument_name,strike,expiry_date,option_type,bid,ask,underlying_price,implied_volatility,funding_rate,timestamp
BTC-27MAR26-40000-C,40000.0,1774598400000,put,0.4555,0.458,0.0,,0.0,2026-03-16T11:35:36.649379+00:00
BTC-27MAR26-51000-C,51000.0,1774598400000,put,0.305,0.3095,0.0,,0.0,2026-03-16T11:35:36.791302+00:00
BTC-27MAR26-53000-C,53000.0,1774598400000,put,0.278,0.283,0.0,,0.0,2026-03-16T11:35:36.894030+00:00
BTC-27MAR26-53000-P,53000.0,1774598400000,put,0.0006,0.0007,0.0,,0.0,2026-03-16T11:35:36.935919+00:00
BTC-27MAR26-55000-P,55000.0,1774598400000,put,0.0007,0.0008,0.0,,0.0,2026-03-16T11:35:37.038979+00:00
BTC-27MAR26-56000-C,56000.0,1774598400000,put,0.238,0.2425,0.0,,0.0,2026-03-16T11:35:37.081134+00:00
BTC-27MAR26-57000-C,57000.0,1774598400000,put,0.2245,0.229,0.0,,0.0,2026-03-16T11:35:37.147956+00:00
BTC-27MAR26-58000-P,58000.0,1774598400000,put,0.0015,0.0016,0.0,,0.0,2026-03-16T11:35:37.231375+00:00
BTC-27MAR26-59000-P,59000.0,1774598400000,put,0.0017,0.002,0.0,,0.0,2026-03-16T11:35:37.295173+00:00
BTC-27MAR26-60000-C,60000.0,1774598400000,put,0.1855,0.189,0.0,,0.0,2026-03-16T11:35:37.337867+00:00
BTC-27MAR26-62000-C,62000.0,1774598400000,put,0.1595,0.163,0.0,,0.0,2026-03-16T11:35:37.396829+00:00
BTC-27MAR26-62000-P,62000.0,1774598400000,put,0.0032,0.0035,0.0,,0.0,2026-03-16T11:35:37.437666+00:00
BTC-27MAR26-64000-P,64000.0,1774598400000,put,0.0048,0.0055,0.0,,0.0,2026-03-16T11:35:37.499737+00:00
BTC-27MAR26-65000-C,65000.0,1774598400000,put,0.1215,0.125,0.0,,0.0,2026-03-16T11:35:37.539773+00:00
BTC-27MAR26-65000-P,65000.0,1774598400000,put,0.006,0.0065,0.0,,0.0,2026-03-16T11:35:37.580943+00:00
BTC-27MAR26-66000-P,66000.0,1774598400000,put,0.0075,0.008,0.0,,0.0,2026-03-16T11:35:37.640913+00:00
BTC-27MAR26-67000-C,67000.0,1774598400000,put,0.0985,0.101,0.0,,0.0,2026-03-16T11:35:37.685263+00:00
BTC-27MAR26-68000-C,68000.0,1774598400000,put,0.087,0.0895,0.0,,0.0,2026-03-16T11:35:37.746745+00:00
BTC-27MAR26-68000-P,68000.0,1774598400000,put,0.0115,0.012,0.0,,0.0,2026-03-16T11:35:37.788265+00:00
BTC-27MAR26-69000-C,69000.0,1774598400000,put,0.076,0.079,0.0,,0.0,2026-03-16T11:35:37.830354+00:00
BTC-27MAR26-70000-C,70000.0,1774598400000,put,0.066,0.0675,0.0,,0.0,2026-03-16T11:35:37.892521+00:00
BTC-27MAR26-70000-P,70000.0,1774598400000,put,0.017,0.018,0.0,,0.0,2026-03-16T11:35:37.934316+00:00
BTC-27MAR26-71000-P,71000.0,1774598400000,put,0.021,0.022,0.0,,0.0,2026-03-16T11:35:37.994943+00:00
BTC-27MAR26-72000-C,72000.0,1774598400000,put,0.0475,0.049,0.0,,0.0,2026-03-16T11:35:38.036707+00:00
BTC-27MAR26-73000-C,73000.0,1774598400000,put,0.0395,0.041,0.0,,0.0,2026-03-16T11:35:38.101669+00:00
BTC-27MAR26-73000-P,73000.0,1774598400000,put,0.0315,0.032,0.0,,0.0,2026-03-16T11:35:38.143811+00:00
BTC-27MAR26-74000-C,74000.0,1774598400000,put,0.033,0.0335,0.0,,0.0,2026-03-16T11:35:38.186060+00:00
BTC-27MAR26-75000-C,75000.0,1774598400000,put,0.027,0.0275,0.0,,0.0,2026-03-16T11:35:38.247076+00:00
BTC-27MAR26-75000-P,75000.0,1774598400000,put,0.045,0.046,0.0,,0.0,2026-03-16T11:35:38.288728+00:00
BTC-27MAR26-76000-C,76000.0,1774598400000,put,0.021,0.022,0.0,,0.0,2026-03-16T11:35:38.349063+00:00
BTC-27MAR26-76000-P,76000.0,1774598400000,put,0.0525,0.0545,0.0,,0.0,2026-03-16T11:35:38.390709+00:00
BTC-27MAR26-77000-C,77000.0,1774598400000,put,0.0165,0.0175,0.0,,0.0,2026-03-16T11:35:38.432439+00:00
BTC-27MAR26-78000-C,78000.0,1774598400000,put,0.013,0.0135,0.0,,0.0,2026-03-16T11:35:38.494899+00:00
BTC-27MAR26-78000-P,78000.0,1774598400000,put,0.071,0.075,0.0,,0.0,2026-03-16T11:35:38.536487+00:00
BTC-27MAR26-80000-P,80000.0,1774598400000,put,0.092,0.097,0.0,,0.0,2026-03-16T11:35:38.600348+00:00
BTC-27MAR26-82000-C,82000.0,1774598400000,put,0.0044,0.0047,0.0,,0.0,2026-03-16T11:35:38.641976+00:00
BTC-27MAR26-82000-P,82000.0,1774598400000,put,0.1155,0.1215,0.0,,0.0,2026-03-16T11:35:38.686863+00:00
BTC-27MAR26-84000-P,84000.0,1774598400000,put,0.141,0.1465,0.0,,0.0,2026-03-16T11:35:38.747007+00:00
BTC-27MAR26-85000-C,85000.0,1774598400000,put,0.0019,0.002,0.0,,0.0,2026-03-16T11:35:38.790641+00:00
