instrument_name,strike,expiry_date,option_type,best_bid_price,best_ask_price,underlying_price,mark_iv,funding_rate,timestamp
BTC-27MAR26-20000-C,20000.0,2026-03-27 08:00:00+00:00,put,0.73,0.731,74210.01,171.17,,2026-03-16 14:25:22.316451+00:00
BTC-27MAR26-30000-C,30000.0,2026-03-27 08:00:00+00:00,put,0.595,0.5965,74202.68,135.01,,2026-03-16 14:25:22.597185+00:00
BTC-27MAR26-40000-C,40000.0,2026-03-27 08:00:00+00:00,put,0.46,0.462,74208.9,128.13,,2026-03-16 14:25:22.846005+00:00
BTC-27MAR26-45000-C,45000.0,2026-03-27 08:00:00+00:00,put,0.392,0.3955,74201.09,108.95,,2026-03-16 14:25:23.089261+00:00
BTC-27MAR26-45000-P,45000.0,2026-03-27 08:00:00+00:00,put,0.0001,0.0002,74201.09,108.95,,2026-03-16 14:25:23.244193+00:00
BTC-27MAR26-50000-C,50000.0,2026-03-27 08:00:00+00:00,put,0.325,0.328,74201.09,95.51,,2026-03-16 14:25:23.406583+00:00
BTC-27MAR26-50000-P,50000.0,2026-03-27 08:00:00+00:00,put,0.0003,0.0004,74201.09,95.51,,2026-03-16 14:25:23.567669+00:00
BTC-27MAR26-51000-C,51000.0,2026-03-27 08:00:00+00:00,put,0.3115,0.315,74200.7,94.01,,2026-03-16 14:25:23.744983+00:00
BTC-27MAR26-51000-P,51000.0,2026-03-27 08:00:00+00:00,put,0.0003,0.0005,74200.7,94.01,,2026-03-16 14:25:23.930007+00:00
BTC-27MAR26-52000-C,52000.0,2026-03-27 08:00:00+00:00,put,0.298,0.3015,74182.41,91.86,,2026-03-16 14:25:24.097512+00:00
BTC-27MAR26-52000-P,52000.0,2026-03-27 08:00:00+00:00,put,0.0005,0.0006,74182.41,91.86,,2026-03-16 14:25:24.254235+00:00
BTC-27MAR26-53000-C,53000.0,2026-03-27 08:00:00+00:00,put,0.284,0.2885,74200.7,90.26,,2026-03-16 14:25:24.414252+00:00
