instrument_name,strike,expiry_date,option_type,bid,ask,underlying_price,implied_volatility,funding_rate,timestamp
ETH-27MAR26-500-C,500.0,1774598400000,put,0.778,0.78,0.0,,0.0,2026-03-16T10:45:43.445521+00:00
ETH-27MAR26-700-C,700.0,1774598400000,put,0.689,0.702,0.0,,0.0,2026-03-16T10:45:43.545019+00:00
ETH-27MAR26-900-C,900.0,1774598400000,put,0.6005,0.6045,0.0,,0.0,2026-03-16T10:45:43.643935+00:00
ETH-27MAR26-1200-C,1200.0,1774598400000,put,0.468,0.473,0.0,,0.0,2026-03-16T10:45:43.743480+00:00
ETH-27MAR26-1400-C,1400.0,1774598400000,put,0.379,0.385,0.0,,0.0,2026-03-16T10:45:43.845353+00:00
ETH-27MAR26-1600-C,1600.0,1774598400000,put,0.2925,0.296,0.0,,0.0,2026-03-16T10:45:43.938927+00:00
ETH-27MAR26-1700-C,1700.0,1774598400000,put,0.2485,0.257,0.0,,0.0,2026-03-16T10:45:43.995900+00:00
ETH-27MAR26-1700-P,1700.0,1774598400000,put,0.0026,0.003,0.0,,0.0,2026-03-16T10:45:44.034260+00:00
ETH-27MAR26-1750-P,1750.0,1774598400000,put,0.0034,0.0037,0.0,,0.0,2026-03-16T10:45:44.092786+00:00
ETH-27MAR26-1800-C,1800.0,1774598400000,put,0.207,0.2105,0.0,,0.0,2026-03-16T10:45:44.132034+00:00
ETH-27MAR26-1850-C,1850.0,1774598400000,put,0.1855,0.199,0.0,,0.0,2026-03-16T10:45:44.188600+00:00
ETH-27MAR26-1900-C,1900.0,1774598400000,put,0.1665,0.1695,0.0,,0.0,2026-03-16T10:45:44.248042+00:00
ETH-27MAR26-1900-P,1900.0,1774598400000,put,0.0075,0.008,0.0,,0.0,2026-03-16T10:45:44.288488+00:00
ETH-27MAR26-1950-P,1950.0,1774598400000,put,0.01,0.0105,0.0,,0.0,2026-03-16T10:45:44.346430+00:00
ETH-27MAR26-2000-C,2000.0,1774598400000,put,0.128,0.1305,0.0,,0.0,2026-03-16T10:45:44.385231+00:00
ETH-27MAR26-2050-C,2050.0,1774598400000,put,0.11,0.1125,0.0,,0.0,2026-03-16T10:45:44.445596+00:00
ETH-27MAR26-2050-P,2050.0,1774598400000,put,0.017,0.018,0.0,,0.0,2026-03-16T10:45:44.482713+00:00
ETH-27MAR26-2100-P,2100.0,1774598400000,put,0.0225,0.0235,0.0,,0.0,2026-03-16T10:45:44.541424+00:00
ETH-27MAR26-2150-P,2150.0,1774598400000,put,0.029,0.03,0.0,,0.0,2026-03-16T10:45:44.600058+00:00
ETH-27MAR26-2200-C,2200.0,1774598400000,put,0.0645,0.0665,0.0,,0.0,2026-03-16T10:45:44.641487+00:00
ETH-27MAR26-2250-C,2250.0,1774598400000,put,0.0525,0.054,0.0,,0.0,2026-03-16T10:45:44.702156+00:00
ETH-27MAR26-2250-P,2250.0,1774598400000,put,0.047,0.0485,0.0,,0.0,2026-03-16T10:45:44.740224+00:00
ETH-27MAR26-2300-P,2300.0,1774598400000,put,0.0585,0.06,0.0,,0.0,2026-03-16T10:45:44.801540+00:00
ETH-27MAR26-2350-C,2350.0,1774598400000,put,0.0335,0.0345,0.0,,0.0,2026-03-16T10:45:44.839139+00:00
ETH-27MAR26-2400-C,2400.0,1774598400000,put,0.026,0.027,0.0,,0.0,2026-03-16T10:45:44.896069+00:00
ETH-27MAR26-2400-P,2400.0,1774598400000,put,0.086,0.089,0.0,,0.0,2026-03-16T10:45:44.934560+00:00
ETH-27MAR26-2450-P,2450.0,1774598400000,put,0.1,0.106,0.0,,0.0,2026-03-16T10:45:44.994130+00:00
ETH-27MAR26-2500-P,2500.0,1774598400000,put,0.117,0.126,0.0,,0.0,2026-03-16T10:45:45.051952+00:00
ETH-27MAR26-2600-C,2600.0,1774598400000,put,0.0095,0.01,0.0,,0.0,2026-03-16T10:45:45.091175+00:00
ETH-27MAR26-2700-C,2700.0,1774598400000,put,0.0055,0.0065,0.0,,0.0,2026-03-16T10:45:45.149060+00:00
ETH-27MAR26-2700-P,2700.0,1774598400000,put,0.1945,0.2045,0.0,,0.0,2026-03-16T10:45:45.188828+00:00
ETH-27MAR26-2800-P,2800.0,1774598400000,put,0.236,0.2465,0.0,,0.0,2026-03-16T10:45:45.246624+00:00
ETH-27MAR26-2900-C,2900.0,1774598400000,put,0.0025,0.0028,0.0,,0.0,2026-03-16T10:45:45.282869+00:00
ETH-27MAR26-3000-C,3000.0,1774598400000,put,0.0018,0.0021,0.0,,0.0,2026-03-16T10:45:45.342196+00:00
ETH-27MAR26-3300-P,3300.0,1774598400000,put,0.453,0.4645,0.0,,0.0,2026-03-16T10:45:45.495973+00:00
ETH-27MAR26-3500-P,3500.0,1774598400000,put,0.5405,0.5535,0.0,,0.0,2026-03-16T10:45:45.591677+00:00
ETH-27MAR26-3800-P,3800.0,1774598400000,put,0.6725,0.6865,0.0,,0.0,2026-03-16T10:45:45.756662+00:00
ETH-27MAR26-4600-P,4600.0,1774598400000,put,0.946,1.132,0.0,,0.0,2026-03-16T10:45:46.050358+00:00
ETH-27MAR26-5000-P,5000.0,1774598400000,put,1.2,1.219,0.0,,0.0,2026-03-16T10:45:46.148207+00:00
ETH-27MAR26-5400-P,5400.0,1774598400000,put,1.284,1.5005,0.0,,0.0,2026-03-16T10:45:46.246158+00:00
ETH-27MAR26-5600-P,5600.0,1774598400000,put,1.3685,1.5925,0.0,,0.0,2026-03-16T10:45:46.348018+00:00
ETH-27MAR26-6000-P,6000.0,1774598400000,put,1.5375,1.7775,0.0,,0.0,2026-03-16T10:45:46.445331+00:00
ETH-27MAR26-6400-P,6400.0,1774598400000,put,1.7065,1.9625,0.0,,0.0,2026-03-16T10:45:46.538903+00:00
ETH-27MAR26-6500-P,6500.0,1774598400000,put,1.749,2.0085,0.0,,0.0,2026-03-16T10:45:46.599714+00:00
ETH-27MAR26-6800-P,6800.0,1774598400000,put,1.876,2.1475,0.0,,0.0,2026-03-16T10:45:46.700441+00:00
ETH-27MAR26-7500-P,7500.0,1774598400000,put,2.172,2.4705,0.0,,0.0,2026-03-16T10:45:46.796270+00:00
ETH-27MAR26-8500-P,8500.0,1774598400000,put,2.595,2.933,0.0,,0.0,2026-03-16T10:45:46.894414+00:00
ETH-27MAR26-10000-P,10000.0,1774598400000,put,3.229,3.627,0.0,,0.0,2026-03-16T10:45:46.994331+00:00
ETH-27MAR26-12000-P,12000.0,1774598400000,put,4.075,4.5525,0.0,,0.0,2026-03-16T10:45:47.091050+00:00
ETH-27MAR26-13000-P,13000.0,1774598400000,put,4.4975,5.0155,0.0,,0.0,2026-03-16T10:45:47.149750+00:00
ETH-3APR26-1600-P,1600.0,1775203200000,put,0.0037,0.004,0.0,,0.0,2026-03-16T10:45:47.245859+00:00
ETH-3APR26-1800-C,1800.0,1775203200000,put,0.21,0.2185,0.0,,0.0,2026-03-16T10:45:47.284579+00:00
ETH-3APR26-1900-C,1900.0,1775203200000,put,0.1715,0.179,0.0,,0.0,2026-03-16T10:45:47.348608+00:00
ETH-3APR26-1900-P,1900.0,1775203200000,put,0.014,0.0145,0.0,,0.0,2026-03-16T10:45:47.388690+00:00
ETH-3APR26-1950-P,1950.0,1775203200000,put,0.0175,0.018,0.0,,0.0,2026-03-16T10:45:47.446124+00:00
ETH-3APR26-2050-P,2050.0,1775203200000,put,0.027,0.028,0.0,,0.0,2026-03-16T10:45:47.545137+00:00
ETH-3APR26-2100-C,2100.0,1775203200000,put,0.105,0.1075,0.0,,0.0,2026-03-16T10:45:47.582706+00:00
ETH-3APR26-2150-C,2150.0,1775203200000,put,0.0905,0.093,0.0,,0.0,2026-03-16T10:45:47.642320+00:00
ETH-3APR26-2150-P,2150.0,1775203200000,put,0.041,0.042,0.0,,0.0,2026-03-16T10:45:47.682694+00:00
ETH-3APR26-2200-P,2200.0,1775203200000,put,0.05,0.051,0.0,,0.0,2026-03-16T10:45:47.741056+00:00
ETH-3APR26-2250-P,2250.0,1775203200000,put,0.0605,0.0615,0.0,,0.0,2026-03-16T10:45:47.803847+00:00
ETH-3APR26-2300-C,2300.0,1775203200000,put,0.056,0.057,0.0,,0.0,2026-03-16T10:45:47.847548+00:00
ETH-3APR26-2300-P,2300.0,1775203200000,put,0.0715,0.073,0.0,,0.0,2026-03-16T10:45:47.886870+00:00
