instrument_name,strike,expiry_date,option_type,bid,ask,underlying_price,implied_volatility,funding_rate,timestamp
ETH-27MAR26-800-C,800.0,1774598400000,put,0.647,0.65,0.0,,0.0,2026-03-16T11:36:01.345306+00:00
ETH-27MAR26-1000-C,1000.0,1774598400000,put,0.5585,0.563,0.0,,0.0,2026-03-16T11:36:01.449836+00:00
ETH-27MAR26-1400-C,1400.0,1774598400000,put,0.3825,0.388,0.0,,0.0,2026-03-16T11:36:01.595318+00:00
ETH-27MAR26-1600-C,1600.0,1774598400000,put,0.2955,0.2995,0.0,,0.0,2026-03-16T11:36:01.697523+00:00
ETH-27MAR26-1600-P,1600.0,1774598400000,put,0.0016,0.0019,0.0,,0.0,2026-03-16T11:36:01.737568+00:00
ETH-27MAR26-1700-P,1700.0,1774598400000,put,0.0026,0.0027,0.0,,0.0,2026-03-16T11:36:01.798440+00:00
ETH-27MAR26-1750-C,1750.0,1774598400000,put,0.231,0.238,0.0,,0.0,2026-03-16T11:36:01.841199+00:00
ETH-27MAR26-1750-P,1750.0,1774598400000,put,0.0033,0.0037,0.0,,0.0,2026-03-16T11:36:01.880077+00:00
ETH-27MAR26-1800-P,1800.0,1774598400000,put,0.0044,0.0047,0.0,,0.0,2026-03-16T11:36:01.940536+00:00
ETH-27MAR26-1850-C,1850.0,1774598400000,put,0.1885,0.196,0.0,,0.0,2026-03-16T11:36:01.981922+00:00
ETH-27MAR26-1900-C,1900.0,1774598400000,put,0.17,0.1725,0.0,,0.0,2026-03-16T11:36:02.047531+00:00
ETH-27MAR26-1900-P,1900.0,1774598400000,put,0.0075,0.008,0.0,,0.0,2026-03-16T11:36:02.087008+00:00
ETH-27MAR26-1950-P,1950.0,1774598400000,put,0.0095,0.0105,0.0,,0.0,2026-03-16T11:36:02.152049+00:00
ETH-27MAR26-2000-C,2000.0,1774598400000,put,0.1315,0.134,0.0,,0.0,2026-03-16T11:36:02.192508+00:00
ETH-27MAR26-2000-P,2000.0,1774598400000,put,0.0125,0.0135,0.0,,0.0,2026-03-16T11:36:02.232086+00:00
ETH-27MAR26-2050-P,2050.0,1774598400000,put,0.0165,0.0175,0.0,,0.0,2026-03-16T11:36:02.296009+00:00
ETH-27MAR26-2100-C,2100.0,1774598400000,put,0.0965,0.099,0.0,,0.0,2026-03-16T11:36:02.337374+00:00
ETH-27MAR26-2150-C,2150.0,1774598400000,put,0.081,0.083,0.0,,0.0,2026-03-16T11:36:02.398654+00:00
ETH-27MAR26-2150-P,2150.0,1774598400000,put,0.028,0.029,0.0,,0.0,2026-03-16T11:36:02.439147+00:00
ETH-27MAR26-2200-C,2200.0,1774598400000,put,0.067,0.069,0.0,,0.0,2026-03-16T11:36:02.480683+00:00
ETH-27MAR26-2250-C,2250.0,1774598400000,put,0.055,0.056,0.0,,0.0,2026-03-16T11:36:02.542474+00:00
ETH-27MAR26-2250-P,2250.0,1774598400000,put,0.0455,0.0465,0.0,,0.0,2026-03-16T11:36:02.582051+00:00
ETH-27MAR26-2300-P,2300.0,1774598400000,put,0.0565,0.0575,0.0,,0.0,2026-03-16T11:36:02.644724+00:00
ETH-27MAR26-2350-C,2350.0,1774598400000,put,0.035,0.036,0.0,,0.0,2026-03-16T11:36:02.684942+00:00
ETH-27MAR26-2400-C,2400.0,1774598400000,put,0.0275,0.0285,0.0,,0.0,2026-03-16T11:36:02.746288+00:00
ETH-27MAR26-2400-P,2400.0,1774598400000,put,0.083,0.0855,0.0,,0.0,2026-03-16T11:36:02.786638+00:00
